case_id,dataset,fold,dice_single,detectability_single,precision_single,dice_dual,detectability_dual,precision_dual,dice_difference,detectability_difference,precision_difference
Liver_Lesions_1178,Liver_Lesions,0,0.9728311669732468,1.0,1.0,0.9766174968601783,1.0,0.25,0.0037863298869315054,0.0,-0.75
Liver_Lesions_1180,Liver_Lesions,0,0.17992447231775574,0.5789473684210527,0.6111111111111112,0.182834783434264,0.631578947368421,0.6666666666666666,0.0029103111165082463,0.05263157894736836,0.05555555555555547
Liver_Lesions_1187,Liver_Lesions,0,0.8616236162361623,1.0,0.5,0.8667953667953668,1.0,0.5,0.005171750559204491,0.0,0.0
Liver_Lesions_1188,Liver_Lesions,0,0.9483096406125103,0.9230769230769232,0.9,0.9621100259280373,0.9487179487179488,0.925,0.013800385315526964,0.02564102564102555,0.025000000000000022
Liver_Lesions_1190,Liver_Lesions,0,0.9152427677211977,0.8333333333333334,1.0,0.602949329193924,0.8333333333333334,0.7142857142857143,-0.31229343852727376,0.0,-0.2857142857142857
Liver_Lesions_1193,Liver_Lesions,0,0.8500730460189919,0.7777777777777778,0.7777777777777778,0.8903542549095109,0.8888888888888888,0.8,0.040281208890519005,0.11111111111111105,0.022222222222222254
Liver_Lesions_1198,Liver_Lesions,0,0.9715013221036137,1.0,0.5,0.9355540834673985,1.0,0.25,-0.035947238636215184,0.0,-0.25
Liver_Lesions_1201,Liver_Lesions,0,0.9452981944286205,0.6923076923076923,0.75,0.9496624579816564,0.6923076923076923,0.75,0.004364263553035874,0.0,0.0
Liver_Lesions_1206,Liver_Lesions,0,0.8655161429347724,1.0,0.3333333333333333,0.8787443774523878,1.0,0.5,0.013228234517615345,0.0,0.16666666666666669
Liver_Lesions_1207,Liver_Lesions,0,0.9555549494520788,0.4,1.0,0.9610395880270357,0.4,0.6666666666666666,0.005484638574956957,0.0,-0.33333333333333337
Liver_Lesions_1208,Liver_Lesions,0,0.9504102805796409,1.0,1.0,0.9554403255605003,1.0,1.0,0.0050300449808593495,0.0,0.0
Liver_Lesions_1219,Liver_Lesions,0,0.9615545703048523,1.0,1.0,0.9652019154187275,1.0,1.0,0.003647345113875211,0.0,0.0
Liver_Lesions_1220,Liver_Lesions,0,0.9511766667902012,1.0,1.0,0.9508902950756136,1.0,1.0,-0.0002863717145875633,0.0,0.0
Liver_Lesions_1221,Liver_Lesions,0,0.7652474108170311,1.0,0.5,0.9655667144906743,1.0,1.0,0.20031930367364326,0.0,0.5
Liver_Lesions_1227,Liver_Lesions,0,0.7513793679986625,1.0,0.7777777777777778,0.7497991322513258,1.0,0.7777777777777778,-0.001580235747336678,0.0,0.0
Liver_Lesions_1229,Liver_Lesions,0,0.9629138506287963,0.6666666666666666,1.0,0.9652927330094656,0.7777777777777778,1.0,0.0023788823806693005,0.11111111111111116,0.0
