case_id,dataset,fold,dice_poly,detectability_poly,precision_poly,dice_cosine,detectability_cosine,precision_cosine,dice_difference,detectability_difference,precision_difference
Liver_Lesions_1277,Liver_Lesions,0,0.8283442263266041,0.7096774193548387,0.8461538461538461,0.8233950988498835,0.6451612903225806,0.6896551724137931,-0.004949127476720605,-0.06451612903225812,-0.156498673740053
Liver_Lesions_1281,Liver_Lesions,0,0.9558336101576053,0.5555555555555556,1.0,0.944486236588982,0.4444444444444444,0.8,-0.011347373568623254,-0.11111111111111116,-0.19999999999999996
Liver_Lesions_1282,Liver_Lesions,0,0.30601092896174864,1.0,0.5,0.2718808193668529,1.0,0.3333333333333333,-0.03413010959489576,0.0,-0.16666666666666669
Liver_Lesions_1283,Liver_Lesions,0,,,,,,,,,
Liver_Lesions_1284,Liver_Lesions,0,0.9724217676659831,0.6666666666666666,0.4,0.9730598499923465,0.3333333333333333,0.25,0.0006380823263634205,-0.3333333333333333,-0.15000000000000002
Liver_Lesions_1294,Liver_Lesions,0,0.8535727283755914,0.9,0.75,0.8591820368885325,0.9,1.0,0.005609308512941058,0.0,0.25
Liver_Lesions_1298,Liver_Lesions,0,0.8152476349471341,0.6666666666666666,0.8571428571428571,0.8638794360719494,1.0,1.0,0.048631801124815244,0.33333333333333337,0.1428571428571429
Liver_Lesions_1302,Liver_Lesions,0,0.9813656132541476,1.0,1.0,0.9810485615483059,1.0,1.0,-0.00031705170584173104,0.0,0.0
Liver_Lesions_1311,Liver_Lesions,0,0.9618647699031623,1.0,0.4285714285714285,0.9561380416933047,1.0,0.6,-0.0057267282098575345,0.0,0.17142857142857149
Liver_Lesions_1314,Liver_Lesions,0,0.5846994535519126,1.0,0.5555555555555556,0.6478992785401047,1.0,0.5555555555555556,0.0631998249881921,0.0,0.0
Liver_Lesions_1317,Liver_Lesions,0,0.9237376366475794,0.6,1.0,0.9255437996977065,0.6,1.0,0.001806163050127152,0.0,0.0
Liver_Lesions_1324,Liver_Lesions,0,0.8835407736404483,0.75,0.5,0.8831846856645639,0.75,0.5,-0.00035608797588437824,0.0,0.0
Liver_Lesions_1328,Liver_Lesions,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver_Lesions_1331,Liver_Lesions,0,0.9298351068150434,0.7142857142857143,0.7142857142857143,0.8946776611694153,0.7142857142857143,0.7142857142857143,-0.03515744564562817,0.0,0.0
Liver_Lesions_1335,Liver_Lesions,0,0.9644321982205583,0.2666666666666666,0.6666666666666666,0.9645455664375011,0.2666666666666666,1.0,0.00011336821694285515,0.0,0.33333333333333337
Liver_Lesions_1338,Liver_Lesions,0,0.7298878660554455,0.4166666666666667,0.5,0.7317192395737895,0.4166666666666667,0.625,0.0018313735183439483,0.0,0.125
Liver_Lesions_1347,Liver_Lesions,0,0.9129408701030257,0.6666666666666666,0.6666666666666666,0.9106343373397308,0.6666666666666666,0.75,-0.002306532763294955,0.0,0.08333333333333337
Liver_Lesions_1357,Liver_Lesions,0,0.8582089552238806,1.0,1.0,0.8353948620361561,1.0,1.0,-0.022814093187724538,0.0,0.0
Liver_Lesions_1361,Liver_Lesions,0,0.8730290192081037,0.9230769230769232,0.75,0.873131395696119,0.9230769230769232,0.7058823529411765,0.00010237648801525445,0.0,-0.044117647058823484
Liver_Lesions_1362,Liver_Lesions,0,0.9626519776291339,0.9285714285714286,0.8666666666666667,0.9629367571408616,1.0,0.875,0.000284779511727673,0.0714285714285714,0.008333333333333304
Liver_Lesions_1372,Liver_Lesions,0,0.9640407822707014,0.5,0.5,0.9632175026941299,0.5,1.0,-0.0008232795765715784,0.0,0.5
Liver_Lesions_1374,Liver_Lesions,0,0.8827781712117041,0.8571428571428571,0.6666666666666666,0.8892266748342342,0.7857142857142857,0.6111111111111112,0.006448503622530133,-0.0714285714285714,-0.05555555555555547
Liver_Lesions_1380,Liver_Lesions,0,0.9263620035920974,1.0,0.75,0.9259779338014043,1.0,0.75,-0.0003840697906931645,0.0,0.0
Liver_Lesions_1383,Liver_Lesions,0,0.449438202247191,0.2222222222222222,0.5,0.3388193987272328,0.2222222222222222,0.4,-0.11061880351995818,0.0,-0.09999999999999998
Liver_Lesions_1390,Liver_Lesions,0,0.5980230642504119,1.0,1.0,0.6300751879699248,1.0,0.5,0.03205212371951294,0.0,-0.5
Liver_Lesions_1394,Liver_Lesions,0,0.9302132108053079,0.5294117647058824,0.9,0.9268753943735433,0.5294117647058824,0.75,-0.003337816431764673,0.0,-0.15000000000000002
Liver_Lesions_1395,Liver_Lesions,0,0.9305567626762155,0.5,1.0,0.9326760612447526,0.5,1.0,0.002119298568537098,0.0,0.0
Liver_Lesions_1403,Liver_Lesions,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver_Lesions_1413,Liver_Lesions,0,0.796875,1.0,0.5,0.53125,1.0,0.5,-0.265625,0.0,0.0
Liver_Lesions_1414,Liver_Lesions,0,0.9092489568845619,1.0,1.0,0.9144042884316099,1.0,1.0,0.005155331547048059,0.0,0.0
Liver_Lesions_1423,Liver_Lesions,0,0.9689388445733623,1.0,1.0,0.9676212317812849,1.0,1.0,-0.0013176127920774272,0.0,0.0
Liver_Lesions_1426,Liver_Lesions,0,0.9782831006079988,0.8,0.8,0.9771205426212667,0.8,0.8,-0.001162557986732149,0.0,0.0
Liver_Lesions_1428,Liver_Lesions,0,0.9191014986443784,1.0,1.0,0.9174233931446417,1.0,1.0,-0.0016781054997366818,0.0,0.0
Liver_Lesions_1432,Liver_Lesions,0,0.22408782692928642,0.8333333333333334,0.8333333333333334,0.22101694915254239,0.8333333333333334,1.0,-0.00307087777674403,0.0,0.16666666666666663
Liver_Lesions_1436,Liver_Lesions,0,0.8961352657004831,1.0,1.0,0.882282996432818,1.0,1.0,-0.01385226926766503,0.0,0.0
Liver_Lesions_1453,Liver_Lesions,0,0.9578099240717951,0.9333333333333332,0.9333333333333332,0.9599243681977495,0.9333333333333332,1.0,0.0021144441259544067,0.0,0.06666666666666676
Liver_Lesions_1455,Liver_Lesions,0,0.9551020408163265,1.0,0.5,0.9559193954659949,1.0,0.5,0.000817354649668367,0.0,0.0
Liver_Lesions_1462,Liver_Lesions,0,0.7143592382913021,1.0,0.5,0.6736144007579347,1.0,0.5,-0.04074483753336744,0.0,0.0
Liver_Lesions_1465,Liver_Lesions,0,0.9728736258126,1.0,0.875,0.9733995267987801,1.0,0.875,0.0005259009861801056,0.0,0.0
Liver_Lesions_1467,Liver_Lesions,0,0.9544198895027625,1.0,1.0,0.9568197395476353,1.0,1.0,0.0023998500448728644,0.0,0.0
Liver_Lesions_1468,Liver_Lesions,0,0.9643769187509795,0.9130434782608696,0.875,0.9644601533473415,0.8695652173913043,0.8695652173913043,8.323459636194741e-05,-0.0434782608695653,-0.005434782608695676
Liver_Lesions_1487,Liver_Lesions,0,0.6718346253229974,0.5,0.5,0.6684073107049608,0.5,0.5,-0.003427314618036581,0.0,0.0
Liver_Lesions_1488,Liver_Lesions,0,0.9360832456014235,0.8333333333333334,1.0,0.9372743128627496,0.8333333333333334,1.0,0.0011910672613261175,0.0,0.0
Liver_Lesions_1489,Liver_Lesions,0,0.0,0.0,,0.0,0.0,,0.0,0.0,
Liver_Lesions_1509,Liver_Lesions,0,0.8780440288330411,0.7142857142857143,0.7142857142857143,0.8744835726932914,0.7142857142857143,0.8333333333333334,-0.003560456139749757,0.0,0.11904761904761907
Liver_Lesions_1511,Liver_Lesions,0,0.4204798542215023,0.56,0.4827586206896552,0.40466286156525105,0.6,0.4838709677419355,-0.01581699265625125,0.039999999999999925,0.0011123470522803047
Liver_Lesions_1513,Liver_Lesions,0,0.9178485314499439,0.8181818181818182,1.0,0.9181849237075836,0.8181818181818182,1.0,0.00033639225763970604,0.0,0.0
Liver_Lesions_1523,Liver_Lesions,0,0.14713896457765668,1.0,0.5,0.1435228331780056,1.0,0.5,-0.0036161313996510847,0.0,0.0
